iter	Passed	Remaining
1262	9418	27867
1263	9425	27858
1264	9431	27847
1265	9439	27841
1266	9447	27834
1267	9453	27824
1268	9460	27814
1269	9467	27805
1270	9473	27794
1271	9480	27785
1272	9488	27779
1273	9494	27769
1274	9502	27762
1275	9509	27752
1276	9516	27745
1277	9523	27735
1278	9529	27724
1279	9535	27713
1280	9542	27704
1281	9549	27694
1282	9555	27684
1283	9563	27676
1284	9569	27666
1285	9576	27656
1286	9582	27645
1287	9590	27639
1288	9598	27632
1289	9605	27625
1290	9612	27615
1291	9619	27606
1292	9625	27595
1293	9632	27587
1294	9641	27583
1295	9647	27573
1296	9654	27563
1297	9661	27554
1298	9667	27545
1299	9674	27534
1300	9681	27526
1301	9688	27518
1302	9696	27510
1303	9702	27500
1304	9709	27492
1305	9717	27485
1306	9723	27475
1307	9731	27467
1308	9737	27456
1309	9744	27448
1310	9750	27437
1311	9759	27433
1312	9766	27425
1313	9774	27418
1314	9781	27410
1315	9788	27401
1316	9795	27391
1317	9802	27383
1318	9808	27374
1319	9815	27364
1320	9822	27355
1321	9829	27347
1322	9837	27341
1323	9844	27331
1324	9850	27321
1325	9857	27312
1326	9864	27304
1327	9871	27296
1328	9880	27292
1329	9887	27283
1330	9894	27273
1331	9900	27263
1332	9908	27257
1333	9915	27249
1334	9922	27240
1335	9929	27231
1336	9935	27221
1337	9942	27212
1338	9948	27201
1339	9957	27196
1340	9963	27186
1341	9970	27176
1342	9977	27167
1343	9986	27164
1344	9992	27154
1345	9999	27145
1346	10006	27136
1347	10013	27127
1348	10020	27119
1349	10028	27112
1350	10035	27104
1351	10041	27095
1352	10048	27086
1353	10055	27077
1354	10063	27071
1355	10070	27063
1356	10078	27057
1357	10085	27047
1358	10092	27040
1359	10098	27029
1360	10107	27023
1361	10113	27013
1362	10121	27006
1363	10127	26997
1364	10135	26990
1365	10141	26980
1366	10148	26971
1367	10156	26964
1368	10162	26954
1369	10168	26944
1370	10175	26935
1371	10182	26926
1372	10189	26916
1373	10196	26908
1374	10202	26898
1375	10209	26889
1376	10216	26880
1377	10223	26871
1378	10231	26865
1379	10238	26856
1380	10245	26848
1381	10251	26838
1382	10259	26831
1383	10269	26832
1384	10277	26825
1385	10284	26816
1386	10291	26807
1387	10297	26798
1388	10306	26793
1389	10313	26784
1390	10319	26774
1391	10326	26766
1392	10333	26757
1393	10339	26746
1394	10347	26739
1395	10354	26732
1396	10361	26723
1397	10368	26714
